Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6682,COc1cc2cc(N=Cc3c(F)ncc4nsnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1c(F)ncc2nsnc12,1.7960130247670003,7.371290082
6683,COc1cc2ccn(C)c2c(C=Cc2c(S(=O)(=O)O)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2ccn(C)c12,c1c(S(=O)(=O)O)ncc2nsnc12,1.0512620247670004,8.163343082
6684,COc1cc2c(ccn2C)c(C=Nc2cccc3nsnc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1cccc2nsnc12,2.480620025,6.915998082
6685,COc1cc2c(ccn2C)c(N=Cc2c(S)ncc3nonc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1c(S)ncc2nonc12,1.7893980247670005,6.963094082
6686,CNc1c:C(C#Cc2cc3cc(OC)c(OC)cc3[nH]2):c2nsnc2c1,c1cc(NC)cc2nsnc12,c1cc2cc(OC)c(OC)cc2[nH]1,5.780695,2.969412
6687,CNc1cc2nonc2c(-c2cc(OC):C(c3c(OC)c(OC)cc4cc[nH]c34):s2)n1,c1nc(NC)cc2nonc12,c1c(OC)c(OC)cc2cc[nH]c12,6.114987,2.441803
6688,COc1cc2[nH]c(C(=O)O)cc2c(N=Cc2c(Br)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2[nH]c(C(=O)O)cc12,c1c(Br)ncc2nsnc12,2.165744,5.968991
6689,COc1cc2cc(C3:c(C)ccc4nsnc:34)n(C)c2cc1OC,c1c(C)ccc2nsnc12,c1cc2cc(OC)c(OC)cc2n1C,6.787344082,2.6000430247670003
6690,COc1cc2cc(C#Cc3occ4nc(C=O)cnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1occ2nc(C=O)cnc12,1.915208025,6.827440082
6691,COc1cc2[nH]ccc2c(C=Nc2cccc3nc(C=O)cnc23)c1OC,c1c(OC)c(OC)cc2[nH]ccc12,c1cccc2nc(C=O)cnc12,2.225127,7.101324
6692,COc1cc2cc(N=Cc3cc(C)cc4nsnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C)cc2nsnc12,2.6000430247670003,6.787344082
6693,COc1cc2cc(C=Nc3occ4nc(F)cnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1occ2nc(F)cnc12,2.4777530247670003,6.616647082
